id,xpos,ypos,type
h_412,0.6106632159414037,0.5350603098331772,house
h_413,0.7098939258133623,0.23619820465219687,house
h_414,0.5833717328277106,0.8607714950260973,house
h_415,0.5857225747475766,0.6845968131715766,house
h_416,0.6024925949889308,0.9295559806607632,house
h_417,0.1557307111439385,0.255091522609066,house
h_418,0.6482223818314563,0.8518220168649903,house
h_419,0.6046456576065358,0.4741216826029472,house
h_420,0.6066648765912959,0.769570157510516,house
h_421,0.6204452732354363,0.6895136134640679,house
h_422,0.6444039485477876,0.872818108018108,house
h_423,0.534921527658237,0.6363237679468488,house
h_424,0.5841045031568995,0.4774218956247431,house
h_425,0.628451150670457,0.8530755381898255,house
h_426,0.47859961693783665,0.8606646942554925,house
h_427,0.7094728344423541,0.5669363807426183,house
h_428,0.12392846755066067,0.18205309086703805,house
h_429,0.46939827978179743,0.8496841170058554,house
h_430,0.531611769664089,0.5544311994481825,house
h_431,0.5450922563045424,0.6535210568924639,house
h_432,0.6451483079772304,0.592343484933947,house
h_433,0.5790253114429371,0.49689904413920366,house
h_434,0.5490557902626743,0.5127327956495472,house
h_435,0.4640054135231245,0.3564192523608279,house
h_436,0.6466700303323495,0.862107961752949,house
h_437,0.6031586007942208,0.49364589508530415,house
h_438,0.6453173957765359,0.2550982261705972,house
h_439,0.8921450491787709,0.6256874223085952,house
h_440,0.7095002073318306,0.1912009944510704,house
h_441,0.282510945339866,0.860443690864819,house
h_442,0.06532650311337175,0.7355761364826622,house
h_443,0.401569616431874,0.32528608007678783,house
h_444,0.5187138812264196,0.44839050838242756,house
h_445,0.5936180803531667,0.6099999709512756,house
h_446,0.5886621288272679,0.5192185524196309,house
h_447,0.5712031775616935,0.446292963964231,house
h_448,0.5361444081036645,0.9652183026002448,house
h_449,0.579038558820949,0.7086731697670474,house
h_450,0.5308352377616994,0.6710603001006399,house
h_451,0.6516882238064436,0.8568264043459994,house
h_452,0.5537465629602356,0.5184680018027014,house
h_453,0.619406259301311,0.48625200073374625,house
h_454,0.0981469367888072,0.27133559302958277,house
h_455,0.6289635358853674,0.25967380916248667,house
h_456,0.728332106584672,0.5385398369202339,house
h_457,0.6533402980999258,0.8526823072676866,house
h_458,0.4472295596302075,0.8931950333958153,house
h_459,0.6417833759727427,0.8632103848001633,house
h_460,0.5010075563760277,0.3312017944094165,house
h_461,0.6503251081814243,0.835107982087134,house
h_462,0.5960077905135399,0.7312378049490157,house
