id,xpos,ypos,stoppoint
n_id405,0.563537073,0.447197721,-1
n_id406,0.559770163,0.453246345,-1
n_id407,0.554958538,0.457924761,-1
n_id408,0.550161159,0.454960669,-1
n_id409,0.551846949,0.439836764,-1
n_id410,0.554332896,0.435394537,-1
n_id411,0.552803813,0.42796632,-1
n_id412,0.555543816,0.433245375,-1
n_id413,0.557318644,0.431246373,-1
n_id414,0.570123526,0.457880964,-1
n_id415,0.582692159,0.465783122,-1
n_id416,0.563957333,0.46364491,-1
n_id417,0.578956116,0.44962374,-1
n_id418,0.582939092,0.47552161,-1
n_id419,0.595507726,0.368498355,-1
n_id420,0.60330866,0.364076463,-1
n_id421,0.608912131,0.359440279,-1
n_id422,0.610048259,0.356715505,-1
n_id423,0.255196567,0.212081918,-1
n_id424,0.257199333,0.201079586,-1
n_id425,0.275008162,0.204270482,-1
n_id426,0,0.971940455,-1
n_id427,0.014257985,0.114937926,-1
n_id428,0.039170876,0.141843117,-1
n_id429,0.052191824,0.158451415,-1
n_id430,0.062616417,0.172926192,-1
n_id431,0.076439896,0.192443835,-1
n_id432,0.081186226,0.200966966,-1
n_id433,0.084797616,0.211231013,-1
n_id434,0.089001407,0.227260569,-1
n_id435,0.092297008,0.233551639,-1
n_id436,0.100393549,0.229974395,-1
n_id437,0.118734233,0.216674305,-1
n_id438,0.114014021,0.258903615,-1
n_id439,0.141271584,0.275593248,-1
n_id440,0.019629957,0.325025535,-1
n_id441,0.017669929,0.325677792,-1
n_id442,0.201238225,0.397971904,-1
n_id443,0.030677818,0.299811205,-1
n_id444,0.042570949,0.298699084,-1
n_id445,0.054803611,0.298911811,-1
n_id446,0.068904889,0.298968121,-1
n_id447,0.084042572,0.299338828,-1
n_id448,0.097189361,0.301111026,-1
n_id449,0.125207904,0.305082439,-1
n_id450,0.155683902,0.308310875,-1
n_id451,0.171561196,0.309632593,-1
n_id452,0.177259641,0.30826395,-1
n_id453,0.130556133,0.208937948,-1
n_id454,0.180334428,0.199074328,-1
n_id455,0.215226721,0.197322463,-1
n_id456,0.383983807,0.858574514,-1
n_id457,0.390958467,0.848035175,-1
n_id458,0.392830643,0.841697181,-1
n_id459,0.402199837,0.82911035,-1
n_id460,0.39998338,0.829765735,-1
n_id461,0.409338327,0.832964451,-1
n_id462,0.425517164,0.849388177,-1
n_id463,0.415181608,0.841213854,-1
n_id464,0.43432601,0.858338326,-1
n_id465,0.544901969,0.810834654,-1
n_id466,0.559823586,0.817914062,-1
n_id467,0.57735699,0.824488245,-1
n_id468,0.568392623,0.841373399,-1
n_id469,0.555427472,0.868442827,-1
n_id470,0.54877335,0.897922633,-1
n_id471,0.530281895,0.953478623,-1
n_id472,0.532106585,0.946984213,-1
n_id473,0.537694623,0.931916618,-1
n_id474,0.547469831,0.90295455,-1
n_id475,0.544773754,0.912533493,-1
n_id476,0.550154036,0.90207549,-1
n_id477,0.550563612,0.899017548,-1
n_id478,0.530177423,0.963210854,-1
n_id479,0.532224115,0.971967046,-1
n_id480,0.535310773,0.980289965,-1
n_id481,0.196759009,0.394321145,-1
n_id482,0.039003484,0.343072863,-1
n_id483,0.167341972,0.299138615,-1
n_id484,0.173176943,0.290756258,-1
n_id485,0.176872622,0.270555075,-1
n_id486,0.179066523,0.256587087,-1
n_id487,0.181372019,0.24136464,-1
n_id488,0.149920162,0.202082216,-1
n_id489,0.153945877,0.210758635,-1
n_id490,0.168900734,0.236539192,-1
n_id491,0.173750349,0.238533502,-1
n_id492,0.539473013,0.25739576,-1
n_id493,0.706405409,0.133219879,-1
n_id494,0.756535108,0.151770869,-1
n_id495,0.729315534,0.117038599,-1
n_id496,0.722428725,0.112799713,-1
n_id497,0.743353891,0.125683735,-1
n_id498,0.731328984,0.141664803,-1
n_id499,0.740972416,0.131330369,-1
n_id500,0.721317528,0.337554492,-1
n_id501,0.685235684,0.383018493,-1
n_id502,0.184992907,0.298035879,-1
n_id503,0.189549289,0.29293201,-1
n_id504,0.187590448,0.286794229,-1
n_id505,0.175585723,0.281297756,-1
n_id506,0.193490713,0.2737272,-1
n_id507,0.203650567,0.2561413,-1
n_id508,0.208386212,0.250596338,-1
n_id509,0.211452688,0.235366069,-1
n_id510,0.235221141,0.237626287,-1
n_id511,0.884602919,0.290063333,-1
n_id512,0.660020063,0.359313582,-1
n_id513,0.664335448,0.360009635,-1
n_id514,0.661477916,0.365581189,-1
n_id515,0.553974369,0.380600295,-1
n_id516,0.551287789,0.39484514,-1
n_id517,0.543789585,0.40409248,-1
n_id518,0.541282269,0.414190725,-1
n_id519,0.559503048,0.37981352,-1
n_id520,0.560340007,0.385053471,-1
n_id521,0.559952988,0.373467705,-1
n_id522,0.569476515,0.377368731,-1
n_id523,0.572495504,0.381191549,-1
n_id524,0.578381523,0.372310224,-1
n_id525,0.581393389,0.366845034,-1
n_id526,0.579222043,0.366805929,-1
n_id527,0.584008738,0.369310157,-1
n_id528,0.581706803,0.357172241,-1
n_id529,0.551818457,0.519654507,-1
n_id530,0.566426659,0.519957955,-1
n_id531,0.568829504,0.500376182,-1
n_id532,0.552895226,0.494258735,-1
n_id533,0.551617824,0.503399711,-1
n_id534,0.55132103,0.513255511,-1
n_id535,0.552645919,0.528379416,-1
n_id536,0.554563208,0.538329066,-1
n_id537,0.556600402,0.545298982,-1
n_id538,0.566693774,0.54415245,-1
n_id539,0.56615717,0.525211983,-1
n_id540,0.577596799,0.525715644,-1
n_id541,0.589290484,0.528376288,-1
n_id542,0.59478711,0.515041787,-1
n_id543,0.587655743,0.51113294,-1
n_id544,0.578658135,0.505564515,-1
