id,start,end,maxspeed,junction
l_350,n_id9281,n_id9282,70 mph,None
l_351,n_id9282,n_id441,70 mph,None
l_352,n_id441,n_id9283,70 mph,None
l_353,n_id9283,n_id9284,70 mph,None
l_354,n_id9284,n_id4813,70 mph,None
l_355,n_id4813,n_id9285,70 mph,None
l_356,n_id9285,n_id9286,70 mph,None
l_357,n_id9286,n_id4815,70 mph,None
l_358,n_id4815,n_id9287,70 mph,None
l_359,n_id9287,n_id4816,70 mph,None
l_360,n_id4816,n_id9288,70 mph,None
l_361,n_id9288,n_id4817,70 mph,None
l_362,n_id4817,n_id9289,70 mph,None
l_363,n_id9289,n_id4818,70 mph,None
l_364,n_id4818,n_id9290,70 mph,None
l_365,n_id9290,n_id4820,70 mph,None
l_366,n_id4820,n_id9291,70 mph,None
l_367,n_id9291,n_id9292,70 mph,None
l_368,n_id9292,n_id47,70 mph,None
l_369,n_id482,n_id9267,70 mph,None
l_370,n_id9267,n_id9266,70 mph,None
l_371,n_id9266,n_id4814,70 mph,None
l_372,n_id4814,n_id9265,70 mph,None
l_373,n_id9265,n_id4812,70 mph,None
l_374,n_id4812,n_id9264,70 mph,None
l_375,n_id9264,n_id440,70 mph,None
l_376,n_id440,n_id9263,70 mph,None
l_377,n_id9263,n_id4810,70 mph,None
l_378,n_id4810,n_id9262,70 mph,None
l_379,n_id9262,n_id9261,70 mph,None
l_380,n_id9261,n_id2692,70 mph,None
l_381,n_id73,n_id8350,70 mph,None
l_382,n_id8350,n_id4432,70 mph,None
l_383,n_id62,n_id70,70 mph,None
l_384,n_id452,n_id4293,30 mph,None
l_385,n_id4293,n_id2261,30 mph,None
l_386,n_id73,n_id74,30 mph,None
l_387,n_id1099,n_id1098,20 mph,None
l_388,n_id1098,n_id2896,20 mph,None
l_389,n_id2896,n_id6719,20 mph,None
l_390,n_id6719,n_id7751,20 mph,None
l_391,n_id7751,n_id7752,20 mph,None
l_392,n_id7752,n_id7753,20 mph,None
l_393,n_id7753,n_id7754,20 mph,None
l_394,n_id1093,n_id1089,20 mph,None
l_395,n_id1089,n_id2895,20 mph,None
l_396,n_id2895,n_id1080,20 mph,None
l_397,n_id1080,n_id1081,20 mph,None
l_398,n_id1081,n_id2765,20 mph,None
l_399,n_id2765,n_id3373,20 mph,None
l_400,n_id3373,n_id1087,20 mph,None
l_401,n_id9131,n_id4013,20 mph,None
l_402,n_id4013,n_id5932,20 mph,None
l_403,n_id5932,n_id303,20 mph,None
l_404,n_id4066,n_id29,20 mph,None
l_405,n_id1768,n_id9571,30 mph,None
l_406,n_id9571,n_id4056,30 mph,None
l_407,n_id122,n_id7606,20 mph,None
l_408,n_id7606,n_id3189,20 mph,None
l_409,n_id3189,n_id7604,20 mph,None
l_410,n_id7604,n_id3190,20 mph,None
l_411,n_id3190,n_id7605,20 mph,None
l_412,n_id7605,n_id1253,20 mph,None
l_413,n_id3515,n_id2053,20 mph,None
l_414,n_id2053,n_id1409,20 mph,None
l_415,n_id1409,n_id7712,20 mph,None
l_416,n_id7712,n_id1410,20 mph,None
l_417,n_id1410,n_id1411,20 mph,None
l_418,n_id2080,n_id3912,20 mph,None
l_419,n_id3912,n_id2879,20 mph,None
l_420,n_id2879,n_id1154,20 mph,None
l_421,n_id1154,n_id9810,20 mph,None
l_422,n_id9810,n_id2835,20 mph,None
l_423,n_id2835,n_id2648,20 mph,None
l_424,n_id2648,n_id1153,20 mph,None
l_425,n_id1153,n_id1949,20 mph,None
l_426,n_id1157,n_id1156,20 mph,None
l_427,n_id1156,n_id4800,20 mph,None
l_428,n_id4800,n_id4799,20 mph,None
l_429,n_id4799,n_id4796,20 mph,None
l_430,n_id4796,n_id7573,20 mph,None
l_431,n_id7573,n_id1153,20 mph,None
l_432,n_id1784,n_id4257,20 mph,None
l_433,n_id4257,n_id2208,20 mph,None
l_434,n_id2208,n_id1125,20 mph,None
l_435,n_id1125,n_id2081,20 mph,None
l_436,n_id2081,n_id3532,20 mph,None
l_437,n_id3532,n_id3525,20 mph,None
l_438,n_id3525,n_id5188,20 mph,None
l_439,n_id5188,n_id2083,20 mph,None
l_440,n_id2083,n_id1411,20 mph,None
l_441,n_id1151,n_id3527,20 mph,None
l_442,n_id3527,n_id7575,20 mph,None
l_443,n_id7575,n_id1152,20 mph,None
l_444,n_id1152,n_id3520,20 mph,None
l_445,n_id3520,n_id5224,20 mph,None
l_446,n_id5224,n_id3513,20 mph,None
l_447,n_id3513,n_id1779,20 mph,None
l_448,n_id697,n_id8229,20 mph,None
l_449,n_id8229,n_id9731,20 mph,None
l_450,n_id9731,n_id8228,20 mph,None
l_451,n_id8228,n_id3323,20 mph,None
l_452,n_id3323,n_id2057,20 mph,None
l_453,n_id2057,n_id3322,20 mph,None
l_454,n_id3322,n_id7577,20 mph,None
l_455,n_id7577,n_id2056,20 mph,None
l_456,n_id2056,n_id9139,20 mph,None
l_457,n_id332,n_id1791,20 mph,None
l_458,n_id1791,n_id2448,20 mph,None
l_459,n_id2448,n_id334,20 mph,None
l_460,n_id334,n_id6904,20 mph,None
l_461,n_id6904,n_id1737,20 mph,None
l_462,n_id1737,n_id335,20 mph,None
l_463,n_id335,n_id5039,20 mph,None
l_464,n_id5039,n_id2646,20 mph,None
l_465,n_id2646,n_id333,20 mph,None
l_466,n_id713,n_id2446,20 mph,None
l_467,n_id2446,n_id2444,20 mph,None
l_468,n_id2444,n_id9085,20 mph,None
l_469,n_id9085,n_id2443,20 mph,None
l_470,n_id2443,n_id2445,20 mph,None
l_471,n_id2445,n_id9086,20 mph,None
l_472,n_id9086,n_id3561,20 mph,None
l_473,n_id3561,n_id714,20 mph,None
l_474,n_id719,n_id3797,20 mph,None
l_475,n_id3797,n_id713,20 mph,None
l_476,n_id4342,n_id243,20 mph,None
l_477,n_id243,n_id242,20 mph,None
l_478,n_id242,n_id8649,20 mph,None
l_479,n_id8649,n_id241,20 mph,None
l_480,n_id302,n_id2531,20 mph,None
l_481,n_id245,n_id7980,20 mph,None
l_482,n_id7980,n_id242,20 mph,None
l_483,n_id242,n_id7979,20 mph,None
l_484,n_id7979,n_id302,20 mph,None
l_485,n_id246,n_id1412,20 mph,None
l_486,n_id1080,n_id1082,20 mph,None
l_487,n_id1082,n_id1083,20 mph,None
l_488,n_id1083,n_id1085,20 mph,None
l_489,n_id1084,n_id1083,20 mph,None
l_490,n_id2895,n_id1092,20 mph,None
l_491,n_id1090,n_id6673,20 mph,None
l_492,n_id6673,n_id1091,20 mph,None
l_493,n_id1093,n_id1094,20 mph,None
l_494,n_id1094,n_id2548,20 mph,None
l_495,n_id2548,n_id2564,20 mph,None
l_496,n_id2564,n_id2565,20 mph,None
l_497,n_id2565,n_id2549,20 mph,None
l_498,n_id1086,n_id4395,20 mph,None
l_499,n_id4395,n_id8358,20 mph,None
l_500,n_id8358,n_id1078,20 mph,None
l_501,n_id1078,n_id5625,20 mph,None
l_502,n_id1074,n_id4406,20 mph,None
l_503,n_id4406,n_id1077,20 mph,None
l_504,n_id1077,n_id1076,20 mph,None
l_505,n_id1052,n_id4408,20 mph,None
l_506,n_id4408,n_id7975,20 mph,None
l_507,n_id7975,n_id1048,20 mph,None
l_508,n_id1048,n_id1047,20 mph,None
l_509,n_id1046,n_id1045,20 mph,None
l_510,n_id1045,n_id7976,20 mph,None
l_511,n_id7976,n_id4430,20 mph,None
l_512,n_id4430,n_id255,20 mph,None
l_513,n_id253,n_id4437,20 mph,None
